State,Year,Obesity Rate,Poverty Rate,Median Income,Region,Code,Avg_Obesity_Rate,Education,Public welfare,Health
Minnesota,2022,33.6,9.6,82343,Midwest,MN,33.1,18198.714,20805.356,1397.798
Minnesota,2023,33.3,9.2,85070,Midwest,MN,33.1,18589.81,22980.564000000002,1118.174
Mississippi,2021,39.1,19.2,48871,South,MS,39.56666666666667,6248.285,7061.869000000001,536.726
Mississippi,2022,39.5,19.2,52788,South,MS,39.56666666666667,6696.133,7375.049,448.445
Mississippi,2023,40.1,18.3,54386,South,MS,39.56666666666667,7746.062,7966.863,467.637
Missouri,2021,37.3,12.8,61815,Midwest,MO,36.333333333333336,10600.115,10890.277,2418.408
Missouri,2022,36.4,13.1,64783,Midwest,MO,36.333333333333336,12004.706,12039.961000000001,2423.56
Missouri,2023,35.3,12.0,68484,Midwest,MO,36.333333333333336,12869.957,15240.513,2710.7400000000002
Montana,2021,31.8,12.0,63357,West,MT,30.933333333333334,2046.276,2723.012,211.06300000000002
Montana,2022,30.5,11.8,67915,West,MT,30.933333333333334,2146.036,2910.332,244.122
Montana,2023,30.5,11.8,70939,West,MT,30.933333333333334,2322.921,3024.9790000000003,252.93800000000002
Nebraska,2021,35.9,10.5,66949,Midwest,NE,35.93333333333333,4221.1630000000005,3641.438,352.887
Nebraska,2022,35.3,11.1,69828,Midwest,NE,35.93333333333333,4639.522,4242.099,353.194
Nebraska,2023,36.6,10.2,74727,Midwest,NE,35.93333333333333,4742.228,4998.959,429.89
Nevada,2021,31.3,14.0,66194,West,NV,31.866666666666664,6069.691,4504.613,349.636
Nevada,2022,33.5,12.6,72348,West,NV,31.866666666666664,6645.3240000000005,5063.354,435.032
Nevada,2023,30.8,12.2,76332,West,NV,31.866666666666664,10368.747,6117.25,508.26800000000003
New Hampshire,2021,30.6,7.4,88268,Northeast,NH,31.2,2637.701,3210.944,199.40200000000002
New Hampshire,2022,30.2,7.4,90750,Northeast,NH,31.2,,,
New Hampshire,2023,32.8,7.3,97031,Northeast,NH,31.2,,,
New Jersey,2021,28.2,10.2,89227,Northeast,NJ,28.733333333333334,25064.602,22809.97,1887.939
New Jersey,2022,29.1,9.7,96341,Northeast,NJ,28.733333333333334,,,
New Jersey,2023,28.9,9.7,99716,Northeast,NJ,28.733333333333334,,,
New Mexico,2021,34.6,17.7,54304,West,NM,34.1,6521.7480000000005,8228.629,472.632
New Mexico,2022,32.4,17.3,59842,West,NM,34.1,,,
New Mexico,2023,35.3,16.9,62286,West,NM,34.1,,,
New York,2021,29.1,14.0,74230,Northeast,NY,29.066666666666666,47100.508,78463.12700000001,10551.698
New York,2022,30.1,14.2,79463,Northeast,NY,29.066666666666666,,,
New York,2023,28.0,14.1,82052,Northeast,NY,29.066666666666666,,,
North Carolina,2021,36.0,13.5,61997,South,NC,34.699999999999996,24309.949,19932.563000000002,2018.8890000000001
North Carolina,2022,34.1,12.8,67516,South,NC,34.699999999999996,,,
North Carolina,2023,34.0,12.8,70838,South,NC,34.699999999999996,,,
North Dakota,2021,35.2,10.9,67603,Midwest,ND,35.4,2762.598,1786.618,306.925
North Dakota,2022,35.4,11.2,73240,Midwest,ND,35.4,,,
North Dakota,2023,35.6,10.0,77346,Midwest,ND,35.4,,,
Ohio,2021,37.8,13.3,62286,Midwest,OH,37.43333333333333,23340.114,34080.335,2747.411
Ohio,2022,38.1,13.4,65786,Midwest,OH,37.43333333333333,26714.49,38224.022,2815.359
Ohio,2023,36.4,13.2,67873,Midwest,OH,37.43333333333333,28094.481,40164.404,2638.4120000000003
